NU_ANO,Q025,TP_COR_RACA,SG_UF_PROVA,QTD
2021,B,4,SP,11877
2021,B,4,TO,890
2021,B,5,AC,87
2021,B,5,AL,303
2021,B,5,AM,1072
2021,B,5,AP,67
2021,B,5,BA,1337
2021,B,5,CE,737
2021,B,5,DF,180
2021,B,5,ES,264
2021,B,5,GO,412
2021,B,5,MA,307
2021,B,5,MG,733
2021,B,5,MS,578
2021,B,5,MT,256
2021,B,5,PA,664
2021,B,5,PB,696
2021,B,5,PE,2104
2021,B,5,PI,232
2021,B,5,PR,197
2021,B,5,RJ,512
2021,B,5,RN,227
2021,B,5,RO,222
2021,B,5,RR,276
2021,B,5,RS,187
2021,B,5,SC,187
2021,B,5,SE,218
2021,B,5,SP,1239
2021,B,5,TO,155
2021,B,6,ES,2
2021,B,6,MG,1
2021,B,6,MT,1
2022,A,0,AC,99
2022,A,0,AL,150
2022,A,0,AM,546
2022,A,0,AP,85
2022,A,0,BA,587
2022,A,0,CE,1541
2022,A,0,DF,113
2022,A,0,ES,59
2022,A,0,GO,400
2022,A,0,MA,512
2022,A,0,MG,277
2022,A,0,MS,66
2022,A,0,MT,100
2022,A,0,PA,1002
2022,A,0,PB,204
2022,A,0,PE,378
2022,A,0,PI,237
2022,A,0,PR,110
2022,A,0,RJ,356
2022,A,0,RN,119
2022,A,0,RO,51
2022,A,0,RR,16
2022,A,0,RS,147
2022,A,0,SC,51
2022,A,0,SE,204
2022,A,0,SP,291
2022,A,0,TO,64
2022,A,1,AC,769
2022,A,1,AL,1173
2022,A,1,AM,2038
2022,A,1,AP,686
2022,A,1,BA,3362
2022,A,1,CE,4684
2022,A,1,DF,679
2022,A,1,ES,770
2022,A,1,GO,1957
2022,A,1,MA,3932
2022,A,1,MG,3785
2022,A,1,MS,868
2022,A,1,MT,836
2022,A,1,PA,6795
2022,A,1,PB,2467
2022,A,1,PE,3761
2022,A,1,PI,1933
2022,A,1,PR,2292
2022,A,1,RJ,4210
2022,A,1,RN,1984
2022,A,1,RO,440
2022,A,1,RR,89
2022,A,1,RS,3965
2022,A,1,SC,973
2022,A,1,SE,1263
2022,A,1,SP,6675
2022,A,1,TO,498
2022,A,2,AC,669
2022,A,2,AL,842
2022,A,2,AM,1053
2022,A,2,AP,672
2022,A,2,BA,8797
2022,A,2,CE,2333
2022,A,2,DF,639
2022,A,2,ES,662
2022,A,2,GO,1520
2022,A,2,MA,4237
2022,A,2,MG,3024
2022,A,2,MS,340
2022,A,2,MT,798
2022,A,2,PA,6998
2022,A,2,PB,1113
2022,A,2,PE,2127
2022,A,2,PI,2121
2022,A,2,PR,393
2022,A,2,RJ,4574
2022,A,2,RN,876
2022,A,2,RO,278
2022,A,2,RR,72
2022,A,2,RS,819
2022,A,2,SC,251
2022,A,2,SE,1470
2022,A,2,SP,2936
2022,A,2,TO,729
2022,A,3,AC,3803
2022,A,3,AL,4200
2022,A,3,AM,16484
2022,A,3,AP,3152
2022,A,3,BA,13680
2022,A,3,CE,26276
2022,A,3,DF,1637
2022,A,3,ES,1507
2022,A,3,GO,4712
2022,A,3,MA,17900
2022,A,3,MG,7882
2022,A,3,MS,1605
2022,A,3,MT,2476
2022,A,3,PA,34633
2022,A,3,PB,5944
2022,A,3,PE,8673
2022,A,3,PI,8784
2022,A,3,PR,1549
2022,A,3,RJ,6473
2022,A,3,RN,3785
2022,A,3,RO,1481
2022,A,3,RR,532
2022,A,3,RS,1158
2022,A,3,SC,759
2022,A,3,SE,5449
2022,A,3,SP,6751
2022,A,3,TO,2153
2022,A,4,AC,232
2022,A,4,AL,247
2022,A,4,AM,314
