NU_ANO,TP_FAIXA_ETARIA,Q022,SG_UF_PROVA,QTD
2019,6,B,AP,690
2019,6,B,BA,5741
2019,6,B,CE,3288
2019,6,B,DF,835
2019,6,B,ES,878
2019,6,B,GO,1335
2019,6,B,MA,3396
2019,6,B,MG,4223
2019,6,B,MS,745
2019,6,B,MT,850
2019,6,B,PA,4954
2019,6,B,PB,2036
2019,6,B,PE,2894
2019,6,B,PI,1760
2019,6,B,PR,1568
2019,6,B,RJ,3146
2019,6,B,RN,1462
2019,6,B,RO,832
2019,6,B,RR,162
2019,6,B,RS,2173
2019,6,B,SC,867
2019,6,B,SE,1104
2019,6,B,SP,5196
2019,6,B,TO,581
2019,6,C,AC,832
2019,6,C,AL,1733
2019,6,C,AM,2085
2019,6,C,AP,757
2019,6,C,BA,7498
2019,6,C,CE,3987
2019,6,C,DF,1313
2019,6,C,ES,1536
2019,6,C,GO,2162
2019,6,C,MA,3816
2019,6,C,MG,7758
2019,6,C,MS,1004
2019,6,C,MT,1233
2019,6,C,PA,5001
2019,6,C,PB,2904
2019,6,C,PE,4165
2019,6,C,PI,2141
2019,6,C,PR,2626
2019,6,C,RJ,5158
2019,6,C,RN,2355
2019,6,C,RO,1080
2019,6,C,RR,218
2019,6,C,RS,3584
2019,6,C,SC,1203
2019,6,C,SE,1589
2019,6,C,SP,8959
2019,6,C,TO,794
2019,6,D,AC,460
2019,6,D,AL,1042
2019,6,D,AM,1425
2019,6,D,AP,469
2019,6,D,BA,4965
2019,6,D,CE,2559
2019,6,D,DF,1172
2019,6,D,ES,1390
2019,6,D,GO,1794
2019,6,D,MA,2376
2019,6,D,MG,7600
2019,6,D,MS,756
2019,6,D,MT,965
2019,6,D,PA,2851
2019,6,D,PB,1721
2019,6,D,PE,3138
2019,6,D,PI,1314
2019,6,D,PR,2488
2019,6,D,RJ,4551
2019,6,D,RN,1751
2019,6,D,RO,655
2019,6,D,RR,157
2019,6,D,RS,3028
2019,6,D,SC,934
2019,6,D,SE,983
2019,6,D,SP,8689
2019,6,D,TO,526
2019,6,E,AC,200
2019,6,E,AL,556
2019,6,E,AM,776
2019,6,E,AP,230
2019,6,E,BA,2441
2019,6,E,CE,1328
2019,6,E,DF,1039
2019,6,E,ES,901
2019,6,E,GO,1208
2019,6,E,MA,1120
2019,6,E,MG,5209
2019,6,E,MS,418
2019,6,E,MT,531
2019,6,E,PA,1465
2019,6,E,PB,917
2019,6,E,PE,1803
2019,6,E,PI,726
2019,6,E,PR,1591
2019,6,E,RJ,3006
2019,6,E,RN,962
2019,6,E,RO,319
2019,6,E,RR,108
2019,6,E,RS,1621
2019,6,E,SC,589
2019,6,E,SE,468
2019,6,E,SP,6275
2019,6,E,TO,275
2019,6,A,AC,57
2019,6,A,AL,100
2019,6,A,AM,180
2019,6,A,AP,75
2019,6,A,BA,431
2019,6,A,CE,265
2019,6,A,DF,62
2019,6,A,ES,55
2019,6,A,GO,81
2019,6,A,MA,299
2019,6,A,MG,276
2019,6,A,MS,54
2019,6,A,MT,68
2019,6,A,PA,476
2019,6,A,PB,123
2019,6,A,PE,186
2019,6,A,PI,115
2019,6,A,PR,78
2019,6,A,RJ,208
2019,6,A,RN,81
