NU_ANO,TP_ESTADO_CIVIL,TP_FAIXA_ETARIA,SG_UF_PROVA,QTD
2019,1,6,AM,9106
2019,1,6,AP,3695
2019,1,6,BA,24840
2019,1,6,CE,13681
2019,1,6,DF,5756
2019,1,6,ES,5522
2019,1,6,GO,7334
2019,1,6,MA,13191
2019,1,6,MG,29794
2019,1,6,MS,3980
2019,1,6,MT,4824
2019,1,6,PA,21124
2019,1,6,PB,9953
2019,1,6,PE,14717
2019,1,6,PI,7193
2019,1,6,PR,9307
2019,1,6,RJ,18238
2019,1,6,RN,9078
2019,1,6,RO,3776
2019,1,6,RR,739
2019,1,6,RS,13067
2019,1,6,SC,4324
2019,1,6,SE,5360
2019,1,6,SP,31955
2019,1,6,TO,2153
2019,1,6,AC,1283
2019,1,6,AL,2312
2019,1,6,AM,4522
2019,1,6,AP,1970
2019,1,6,BA,11781
2019,1,6,CE,6084
2019,1,6,DF,2623
2019,1,6,ES,2096
2019,1,6,GO,2952
2019,1,6,MA,6131
2019,1,6,MG,11452
2019,1,6,MS,1835
2019,1,6,MT,2184
2019,1,6,PA,10203
2019,1,6,PB,4278
2019,1,6,PE,6269
2019,1,6,PI,3296
2019,1,6,PR,3353
2019,1,6,RJ,7664
2019,1,6,RN,3948
2019,1,6,RO,1746
2019,1,6,RR,351
2019,1,6,RS,5742
2019,1,6,SC,1704
2019,1,6,SE,2391
2019,1,6,SP,13107
2019,1,6,TO,795
2019,1,6,AC,681
2019,1,6,AL,1166
2019,1,6,AM,2696
2019,1,6,AP,1250
2019,1,6,BA,6420
2019,1,6,CE,3097
2019,1,6,DF,1558
2019,1,6,ES,1080
2019,1,6,GO,1445
2019,1,6,MA,3056
2019,1,6,MG,5763
2019,1,6,MS,1033
2019,1,6,MT,1197
2019,1,6,PA,6155
2019,1,6,PB,2096
2019,1,6,PE,3350
2019,1,6,PI,1547
2019,1,6,PR,1639
2019,1,6,RJ,4351
2019,1,6,RN,1895
2019,1,6,RO,956
2019,1,6,RR,211
2019,1,6,RS,3186
2019,1,6,SC,875
2019,1,6,SE,1125
2019,1,6,SP,6856
2019,1,6,TO,405
2019,1,6,AC,291
2019,1,6,AL,525
2019,1,6,AM,1326
2019,1,6,AP,619
2019,1,6,BA,3092
2019,1,6,CE,1457
2019,1,6,DF,841
2019,1,6,ES,551
2019,1,6,GO,760
2019,1,6,MA,1458
2019,1,6,MG,2712
2019,1,6,MS,480
2019,1,6,MT,582
2019,1,6,PA,3192
2019,1,6,PB,949
2019,1,6,PE,1707
2019,1,6,PI,730
2019,1,6,PR,744
2019,1,6,RJ,2316
2019,1,6,RN,919
2019,1,6,RO,481
2019,1,6,RR,97
2019,1,6,RS,1527
2019,1,6,SC,354
2019,1,6,SE,516
2019,1,6,SP,3442
2019,1,6,TO,191
2019,1,6,AC,146
2019,1,6,AL,256
2019,1,6,AM,679
2019,1,6,AP,270
2019,1,6,BA,1576
2019,1,6,CE,784
2019,1,6,DF,497
2019,1,6,ES,262
2019,1,6,GO,352
2019,1,6,MA,675
2019,1,6,MG,1456
2019,1,6,MS,245
2019,1,6,MT,286
2019,1,6,PA,1606
2019,1,6,PB,478
2019,1,6,PE,961
2019,1,6,PI,357
2019,1,6,PR,348
2019,1,6,RJ,1392
2019,1,6,RN,463
2019,1,6,RO,216
2019,1,6,RR,55
2019,1,6,RS,821
2019,1,6,SC,180
2019,1,6,SE,258
2019,1,6,SP,1889
2019,1,6,TO,85
2019,1,6,AC,57
2019,1,6,AL,118
2019,1,6,AM,259
2019,1,6,AP,130
2019,1,6,BA,777
2019,1,6,CE,416
2019,1,6,DF,266
2019,1,6,ES,158
2019,1,6,GO,163
2019,1,6,MA,331
2019,1,6,MG,842
2019,1,6,MS,108
2019,1,6,MT,136
2019,1,6,PA,731
2019,1,6,PB,228
2019,1,6,PE,476
2019,1,6,PI,202
2019,1,6,PR,174
2019,1,6,RJ,969
2019,1,6,RN,203
2019,1,6,RO,81
2019,1,6,RR,16
2019,1,6,RS,483
2019,1,6,SC,74
2019,1,6,SE,133
2019,1,6,SP,932
2019,1,6,TO,35
2019,1,6,AC,13
2019,1,6,AL,47
2019,1,6,AM,96
2019,1,6,AP,46
2019,1,6,BA,376
2019,1,6,CE,188
2019,1,6,DF,91
2019,1,6,ES,61
2019,1,6,GO,69
2019,1,6,MA,119
2019,1,6,MG,394
2019,1,6,MS,28
2019,1,6,MT,45
2019,1,6,PA,265
2019,1,6,PB,75
2019,1,6,PE,211
2019,1,6,PI,75
2019,1,6,PR,77
2019,1,6,RJ,524
2019,1,6,RN,85
2019,1,6,RO,33
2019,1,6,RR,2
2019,1,6,RS,208
2019,1,6,SC,38
2019,1,6,SE,50
2019,1,6,SP,462
2019,1,6,TO,15
2019,1,6,AC,4
2019,1,6,AL,14
2019,1,6,AM,26
2019,1,6,AP,12
2019,1,6,BA,126
2019,1,6,CE,61
2019,1,6,DF,26
2019,1,6,ES,20
2019,1,6,GO,32
2019,1,6,MA,36
2019,1,6,MG,148
2019,1,6,MS,12
2019,1,6,MT,23
2019,1,6,PA,84
2019,1,6,PB,22
2019,1,6,PE,70
2019,1,6,PI,28
2019,1,6,PR,16
2019,1,6,RJ,224
2019,1,6,RN,18
2019,1,6,RO,7
2019,1,6,RS,76
2019,1,6,SC,10
2019,1,6,SE,14
2019,1,6,SP,163
2019,1,6,TO,2
2019,1,6,AL,2
2019,1,6,AM,8
2019,1,6,AP,4
2019,1,6,BA,34
2019,1,6,CE,20
2019,1,6,DF,11
2019,1,6,ES,8
2019,1,6,GO,10
2019,1,6,MA,14
2019,1,6,MG,42
2019,1,6,MS,2
2019,1,6,MT,3
2019,1,6,PA,16
2019,1,6,PB,7
2019,1,6,PE,18
2019,1,6,PI,8
2019,1,6,PR,9
2019,1,6,RJ,70
2019,1,6,RN,4
2019,1,6,RO,3
2019,1,6,RR,2
2019,1,6,RS,22
2019,1,6,SC,6
2019,1,6,SE,5
2019,1,6,SP,53
2019,1,6,AC,1
2019,1,6,AL,3
2019,1,6,AM,1
2019,1,6,AP,1
2019,1,6,BA,10
2019,1,6,CE,10
2019,1,6,DF,5
2019,1,6,ES,2
2019,1,6,GO,2
2019,1,6,MA,4
2019,1,6,MG,19
2019,1,6,MS,3
2019,1,6,MT,1
2019,1,6,PA,5
2019,1,6,PB,3
2019,1,6,PE,7
2019,1,6,PI,1
2019,1,6,PR,1
2019,1,6,RJ,29
2019,1,6,RO,1
2019,1,6,RS,10
2019,1,6,SE,4
2019,1,6,SP,20
2019,2,1,AC,4
2019,2,1,AL,16
2019,2,1,AM,21
2019,2,1,AP,4
2019,2,1,BA,71
2019,2,1,CE,72
2019,2,1,DF,7
2019,2,1,ES,9
2019,2,1,GO,52
2019,2,1,MA,63
2019,2,1,MG,103
2019,2,1,MS,22
2019,2,1,MT,12
2019,2,1,PA,45
2019,2,1,PB,33
2019,2,1,PE,70
2019,2,1,PI,42
2019,2,1,PR,77
2019,2,1,RJ,39
2019,2,1,RN,13
2019,2,1,RO,10
2019,2,1,RS,27
2019,2,1,SC,23
2019,2,1,SE,16
2019,2,1,SP,236
2019,2,1,TO,16
2019,2,2,AC,34
2019,2,2,AL,77
2019,2,2,AM,49
2019,2,2,AP,7
2019,2,2,BA,183
2019,2,2,CE,199
2019,2,2,DF,39
2019,2,2,ES,66
2019,2,2,GO,144
2019,2,2,MA,147
2019,2,2,MG,349
2019,2,2,MS,63
2019,2,2,MT,100
2019,2,2,PA,84
2019,2,2,PB,99
2019,2,2,PE,213
2019,2,2,PI,77
2019,2,2,PR,305
2019,2,2,RJ,162
2019,2,2,RN,42
2019,2,2,RO,67
2019,2,2,RR,7
2019,2,2,RS,146
2019,2,2,SC,143
2019,2,2,SE,33
