NU_ANO,TP_LOCALIZACAO_ESC,TP_ESTADO_CIVIL,SG_UF_PROVA,QTD
2022,1.0,1,RR,1932
2022,1.0,1,RS,38789
2022,1.0,1,SC,29346
2022,1.0,1,SE,10094
2022,1.0,1,SP,174903
2022,1.0,1,TO,6664
2022,1.0,2,AC,54
2022,1.0,2,AL,211
2022,1.0,2,AM,391
2022,1.0,2,AP,21
2022,1.0,2,BA,375
2022,1.0,2,CE,930
2022,1.0,2,DF,103
2022,1.0,2,ES,234
2022,1.0,2,GO,1023
2022,1.0,2,MA,158
2022,1.0,2,MG,525
2022,1.0,2,MS,117
2022,1.0,2,MT,172
2022,1.0,2,PA,344
2022,1.0,2,PB,338
2022,1.0,2,PE,409
2022,1.0,2,PI,157
2022,1.0,2,PR,415
2022,1.0,2,RJ,646
2022,1.0,2,RN,169
2022,1.0,2,RO,295
2022,1.0,2,RR,19
2022,1.0,2,RS,236
2022,1.0,2,SC,163
2022,1.0,2,SE,112
2022,1.0,2,SP,1159
2022,1.0,2,TO,82
2022,1.0,3,AC,45
2022,1.0,3,AL,105
2022,1.0,3,AM,205
2022,1.0,3,AP,25
2022,1.0,3,BA,308
2022,1.0,3,CE,484
2022,1.0,3,DF,204
2022,1.0,3,ES,148
2022,1.0,3,GO,573
2022,1.0,3,MA,189
2022,1.0,3,MG,526
2022,1.0,3,MS,125
2022,1.0,3,MT,134
2022,1.0,3,PA,216
2022,1.0,3,PB,156
2022,1.0,3,PE,315
2022,1.0,3,PI,84
2022,1.0,3,PR,348
2022,1.0,3,RJ,541
2022,1.0,3,RN,91
2022,1.0,3,RO,124
2022,1.0,3,RR,17
2022,1.0,3,RS,304
2022,1.0,3,SC,252
2022,1.0,3,SE,97
2022,1.0,3,SP,1427
2022,1.0,3,TO,61
2022,1.0,4,AC,3
2022,1.0,4,AL,4
2022,1.0,4,AM,17
2022,1.0,4,BA,15
2022,1.0,4,CE,43
2022,1.0,4,DF,2
2022,1.0,4,ES,9
2022,1.0,4,GO,34
2022,1.0,4,MA,8
2022,1.0,4,MG,15
2022,1.0,4,MS,4
2022,1.0,4,MT,6
2022,1.0,4,PA,12
2022,1.0,4,PB,10
2022,1.0,4,PE,13
2022,1.0,4,PI,6
2022,1.0,4,PR,13
2022,1.0,4,RJ,25
2022,1.0,4,RN,5
2022,1.0,4,RO,4
2022,1.0,4,RR,1
2022,1.0,4,RS,6
2022,1.0,4,SC,8
2022,1.0,4,SE,1
2022,1.0,4,SP,55
2022,1.0,4,TO,1
2022,2.0,0,AC,13
2022,2.0,0,AL,21
