NU_ANO,Q024,TP_ESTADO_CIVIL,SG_UF_PROVA,QTD
2020,B,1,SP,369653
2020,B,1,TO,15622
2020,B,2,AC,1729
2020,B,2,AL,4573
2020,B,2,AM,5206
2020,B,2,AP,1277
2020,B,2,BA,17514
2020,B,2,CE,9046
2020,B,2,DF,5697
2020,B,2,ES,6313
2020,B,2,GO,8667
2020,B,2,MA,6422
2020,B,2,MG,27993
2020,B,2,MS,4399
2020,B,2,MT,4891
2020,B,2,PA,10898
2020,B,2,PB,8298
2020,B,2,PE,12458
2020,B,2,PI,4483
2020,B,2,PR,11042
2020,B,2,RJ,19107
2020,B,2,RN,6407
2020,B,2,RO,4451
2020,B,2,RR,593
2020,B,2,RS,9453
2020,B,2,SC,4259
2020,B,2,SE,2783
2020,B,2,SP,38231
2020,B,2,TO,1811
2020,B,3,AC,355
2020,B,3,AL,861
2020,B,3,AM,976
2020,B,3,AP,217
2020,B,3,BA,3308
2020,B,3,CE,1729
2020,B,3,DF,1528
2020,B,3,ES,1328
2020,B,3,GO,2091
2020,B,3,MA,1184
2020,B,3,MG,6579
2020,B,3,MS,961
2020,B,3,MT,1122
2020,B,3,PA,1672
2020,B,3,PB,1644
2020,B,3,PE,2603
2020,B,3,PI,808
2020,B,3,PR,2549
2020,B,3,RJ,4285
2020,B,3,RN,1180
2020,B,3,RO,872
2020,B,3,RR,144
2020,B,3,RS,2704
2020,B,3,SC,1118
2020,B,3,SE,669
2020,B,3,SP,10034
2020,B,3,TO,391
2020,B,4,AC,22
2020,B,4,AL,68
2020,B,4,AM,80
2020,B,4,AP,14
2020,B,4,BA,258
2020,B,4,CE,143
2020,B,4,DF,80
2020,B,4,ES,78
2020,B,4,GO,147
2020,B,4,MA,75
2020,B,4,MG,439
2020,B,4,MS,57
2020,B,4,MT,84
2020,B,4,PA,148
2020,B,4,PB,106
2020,B,4,PE,170
2020,B,4,PI,62
2020,B,4,PR,167
2020,B,4,RJ,420
2020,B,4,RN,92
2020,B,4,RO,50
2020,B,4,RR,5
2020,B,4,RS,214
2020,B,4,SC,54
2020,B,4,SE,29
2020,B,4,SP,597
2020,B,4,TO,22
2020,C,0,AC,83
2020,C,0,AL,175
2020,C,0,AM,341
2020,C,0,AP,143
2020,C,0,BA,937
2020,C,0,CE,578
2020,C,0,DF,659
2020,C,0,ES,306
2020,C,0,GO,485
2020,C,0,MA,295
2020,C,0,MG,1654
2020,C,0,MS,260
2020,C,0,MT,356
2020,C,0,PA,645
2020,C,0,PB,309
2020,C,0,PE,689
2020,C,0,PI,204
2020,C,0,PR,1058
2020,C,0,RJ,1400
2020,C,0,RN,412
2020,C,0,RO,147
2020,C,0,RR,62
2020,C,0,RS,1370
2020,C,0,SC,674
2020,C,0,SE,198
2020,C,0,SP,3382
2020,C,0,TO,107
2020,C,1,AC,920
2020,C,1,AL,3264
2020,C,1,AM,4552
2020,C,1,AP,1274
2020,C,1,BA,14200
2020,C,1,CE,10477
2020,C,1,DF,10403
2020,C,1,ES,7286
2020,C,1,GO,10878
2020,C,1,MA,5235
2020,C,1,MG,42784
2020,C,1,MS,4578
2020,C,1,MT,5266
2020,C,1,PA,7616
2020,C,1,PB,6162
2020,C,1,PE,12091
2020,C,1,PI,3969
2020,C,1,PR,22651
2020,C,1,RJ,29932
2020,C,1,RN,5901
2020,C,1,RO,2375
2020,C,1,RR,853
2020,C,1,RS,21004
2020,C,1,SC,13009
2020,C,1,SE,2942
2020,C,1,SP,86040
2020,C,1,TO,2179
2020,C,2,AC,197
2020,C,2,AL,438
2020,C,2,AM,591
2020,C,2,AP,178
2020,C,2,BA,1545
2020,C,2,CE,1230
2020,C,2,DF,1211
2020,C,2,ES,793
2020,C,2,GO,896
2020,C,2,MA,774
2020,C,2,MG,3663
2020,C,2,MS,454
2020,C,2,MT,614
2020,C,2,PA,1059
2020,C,2,PB,1028
2020,C,2,PE,1493
2020,C,2,PI,526
2020,C,2,PR,1485
2020,C,2,RJ,2467
2020,C,2,RN,966
2020,C,2,RO,425
2020,C,2,RR,88
2020,C,2,RS,1322
2020,C,2,SC,599
2020,C,2,SE,350
2020,C,2,SP,4578
2020,C,2,TO,221
2020,C,3,AC,24
2020,C,3,AL,66
2020,C,3,AM,98
2020,C,3,AP,26
2020,C,3,BA,213
2020,C,3,CE,181
2020,C,3,DF,254
2020,C,3,ES,115
2020,C,3,GO,153
2020,C,3,MA,96
2020,C,3,MG,705
2020,C,3,MS,80
2020,C,3,MT,111
2020,C,3,PA,156
2020,C,3,PB,149
2020,C,3,PE,218
2020,C,3,PI,66
2020,C,3,PR,325
2020,C,3,RJ,499
2020,C,3,RN,133
2020,C,3,RO,62
2020,C,3,RR,11
2020,C,3,RS,303
2020,C,3,SC,139
2020,C,3,SE,63
2020,C,3,SP,1089
2020,C,3,TO,34
2020,C,4,AC,3
2020,C,4,AL,2
2020,C,4,AM,7
2020,C,4,AP,2
2020,C,4,BA,25
2020,C,4,CE,7
2020,C,4,DF,10
2020,C,4,ES,12
2020,C,4,GO,9
2020,C,4,MA,6
2020,C,4,MG,75
2020,C,4,MS,8
2020,C,4,MT,6
2020,C,4,PA,16
2020,C,4,PB,14
2020,C,4,PE,11
2020,C,4,PI,8
2020,C,4,PR,19
2020,C,4,RJ,41
2020,C,4,RN,10
2020,C,4,RO,2
2020,C,4,RS,23
2020,C,4,SC,6
2020,C,4,SE,6
2020,C,4,SP,75
2020,C,4,TO,3
2020,D,0,AC,26
2020,D,0,AL,65
2020,D,0,AM,88
2020,D,0,AP,29
2020,D,0,BA,213
2020,D,0,CE,140
2020,D,0,DF,237
2020,D,0,ES,84
2020,D,0,GO,121
2020,D,0,MA,82
2020,D,0,MG,369
2020,D,0,MS,58
2020,D,0,MT,77
2020,D,0,PA,146
2020,D,0,PB,86
2020,D,0,PE,173
2020,D,0,PI,44
2020,D,0,PR,279
2020,D,0,RJ,445
2020,D,0,RN,99
2020,D,0,RO,38
2020,D,0,RR,24
2020,D,0,RS,299
2020,D,0,SC,173
2020,D,0,SE,51
2020,D,0,SP,1109
2020,D,0,TO,24
2020,D,1,AC,250
2020,D,1,AL,999
2020,D,1,AM,1257
2020,D,1,AP,352
2020,D,1,BA,4136
2020,D,1,CE,3382
2020,D,1,DF,4657
2020,D,1,ES,2235
2020,D,1,GO,3204
2020,D,1,MA,1370
2020,D,1,MG,13087
2020,D,1,MS,1495
2020,D,1,MT,1567
2020,D,1,PA,2067
2020,D,1,PB,2044
2020,D,1,PE,4295
