SG_UF_PROVA,NO_MUNICIPIO_PROVA,PRESENCA,NU_ANO
MA,Santa Rita,0.7730263157894737,2019
MA,São Bento,0.7511415525114156,2019
MA,São Bernardo,0.779467680608365,2019
MA,São Domingos do Maranhão,0.7497708524289642,2019
MA,São José de Ribamar,0.7159904534606205,2019
MA,São João dos Patos,0.7648824412206103,2019
MA,São Luís,0.7423840087535528,2019
MA,São Mateus do Maranhão,0.7327044025157232,2019
MA,São Raimundo das Mangabeiras,0.7531592249368155,2019
MA,São Vicente Ferrer,0.7632211538461539,2019
MA,Timbiras,0.7644736842105263,2019
MA,Timon,0.759709911361805,2019
MA,Tuntum,0.7855421686746988,2019
MA,Turiaçu,0.7389635316698656,2019
MA,Tutóia,0.7596253902185224,2019
MA,Urbano Santos,0.7784200385356455,2019
MA,Vargem Grande,0.7334689725330621,2019
MA,Viana,0.7381756756756757,2019
MA,Vitorino Freire,0.8039370078740158,2019
MA,Zé Doca,0.7140921409214093,2019
MG,Abaeté,0.7592417061611374,2019
MG,Aimorés,0.6646795827123696,2019
MG,Alfenas,0.7303985412867935,2019
MG,Almenara,0.7203893996755003,2019
MG,Alpinópolis,0.7939876215738285,2019
MG,Alvinópolis,0.7619047619047619,2019
MG,Além Paraíba,0.7878172588832487,2019
MG,Andradas,0.7596153846153846,2019
MG,Andrelândia,0.8011811023622047,2019
MG,Araguari,0.7429415627051871,2019
MG,Araxá,0.7455691217014573,2019
MG,Araçuaí,0.7541498429789143,2019
MG,Arcos,0.7476923076923077,2019
MG,Areado,0.7843137254901961,2019
MG,Arinos,0.7115768463073853,2019
MG,Baependi,0.7589424572317263,2019
MG,Bambuí,0.7740384615384616,2019
MG,Barbacena,0.7325071784796736,2019
MG,Barão de Cocais,0.7334096109839817,2019
MG,Belo Horizonte,0.7058251204743426,2019
MG,Belo Oriente,0.6449814126394052,2019
MG,Betim,0.6919583727530747,2019
MG,Boa Esperança,0.7800914169629254,2019
MG,Bocaiúva,0.7286785379568884,2019
MG,Bom Despacho,0.7419620774938169,2019
MG,Bom Sucesso,0.7508854781582054,2019
MG,Brasilândia de Minas,0.7620396600566572,2019
MG,Brasília de Minas,0.7237785016286645,2019
MG,Brumadinho,0.7053521126760564,2019
MG,Buritis,0.7057991513437057,2019
MG,Caeté,0.7544303797468355,2019
MG,Cambuí,0.7128787878787879,2019
MG,Campo Belo,0.7635494155154091,2019
MG,Campos Altos,0.7725631768953068,2019
MG,Campos Gerais,0.7833876221498371,2019
MG,Capelinha,0.7574497574497574,2019
MG,Carangola,0.7451640033641715,2019
MG,Caratinga,0.7291908184558312,2019
MG,Carlos Chagas,0.6993318485523385,2019
MG,Carmo do Paranaíba,0.8039702233250621,2019
MG,Carmésia,0.7291666666666666,2019
MG,Cataguases,0.7527723418134377,2019
MG,Caxambu,0.7673860911270983,2019
MG,Cláudio,0.7674810446503791,2019
MG,Conceição do Mato Dentro,0.7030567685589519,2019
MG,Congonhas,0.741733181299886,2019
MG,Conselheiro Lafaiete,0.7581417624521073,2019
MG,Conselheiro Pena,0.7359050445103857,2019
MG,Contagem,0.7102864583333334,2019
MG,Coração de Jesus,0.7490144546649146,2019
MG,Corinto,0.7135325131810193,2019
MG,Coromandel,0.7659846547314578,2019
MG,Coronel Fabriciano,0.7152,2019
MG,Curvelo,0.7282127031019202,2019
MG,Diamantina,0.7292110874200426,2019
MG,Divinópolis,0.7650725158815773,2019
MG,Engenheiro Caldas,0.7639639639639639,2019
MG,Entre Rios de Minas,0.79182156133829,2019
MG,Ervália,0.7994467496542186,2019
MG,Esmeraldas,0.7234513274336283,2019
MG,Espinosa,0.7779411764705882,2019
MG,Extrema,0.6488294314381271,2019
MG,Formiga,0.7405541561712846,2019
MG,Francisco Sá,0.7465564738292011,2019
MG,Frutal,0.7414578587699316,2019
